,t_Survived,t_Pclass,t_Age,t_Fare,t_SibSp,t_Parch,t_totalFamily,t_hasFamily,t_isF,t_isM,t_Port1,t_Port2,t_Port3,t_Port4,t_Name,t_TitleFemale,t_TitleMale,t_Sector,t_Cabin
0,0.0,3.0,0.2711736617240512,-0.5024451714361923,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.4274512701485322,-1.0,1.0,-0.4868001045868878,-0.42132151527178324
1,1.0,1.0,0.4722292033174164,0.7868452935884461,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.590962057806627,1.0,-1.0,1.4072561975393874,2.738589849266591
2,1.0,3.0,0.32143754712239253,-0.4888542575852486,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5352517461469307,0.0,-1.0,-0.4868001045868878,-0.42132151527178324
3,1.0,1.0,0.4345312892686604,0.4207302360686478,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.836358725817837,1.0,-1.0,1.4072561975393874,4.151256106354335
4,0.0,3.0,0.4345312892686604,-0.4863374216869257,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.31965079415013364,-1.0,1.0,-0.4868001045868878,-0.42132151527178324
5,0.0,3.0,0.36792055349407915,-0.47811642890864375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.182054602137322,-1.0,1.0,-0.4868001045868878,-0.42132151527178324
6,0.0,1.0,0.6732847449107816,0.395813560675251,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.4274512701485322,-1.0,1.0,2.6699603989569045,1.2887481643607486
7,0.0,3.0,0.01985423473234481,-0.22408312108167944,3.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3271520618402576,-1.0,0.0,-0.4868001045868878,-0.42132151527178324
8,1.0,3.0,0.33400351847197784,-0.4242561406845337,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.37536110580983,1.0,-1.0,-0.4868001045868878,-0.42132151527178324
9,1.0,2.0,0.17064589092736868,-0.04295550208861426,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8661544418322503,1.0,-1.0,-0.4868001045868878,-0.42132151527178324
10,1.0,3.0,0.04498617743151546,-0.312172377522981,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4349525378386561,0.0,-1.0,3.9326646003744212,-0.19826894836319214
11,1.0,1.0,0.723548630309123,-0.11384570873513637,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.31965079415013364,0.0,-1.0,1.4072561975393874,3.4077475499923646
12,0.0,3.0,0.24604171902488062,-0.4863374216869257,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3271520618402576,-1.0,1.0,-0.4868001045868878,-0.42132151527178324
13,0.0,3.0,0.4847951746670017,-0.01870931177853076,1.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.003750633845061978,-1.0,1.0,-0.4868001045868878,-0.42132151527178324
14,0.0,3.0,0.17064589092736868,-0.4902797934380587,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9739549178306488,0.0,-1.0,-0.4868001045868878,-0.42132151527178324
15,1.0,2.0,0.685850716260367,-0.3262666585535892,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5427530138370547,1.0,-1.0,-0.4868001045868878,-0.42132151527178324
16,0.0,3.0,0.01985423473234481,-0.06199888922968463,4.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.7508526981437278,-1.0,0.0,-0.4868001045868878,-0.42132151527178324
17,1.0,2.0,0.36792055349407915,-0.3866707201133388,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11155110984346052,-1.0,1.0,-0.4868001045868878,-0.42132151527178324
18,0.0,3.0,0.38426740387031916,-0.2859972841804228,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.022163961800221,1.0,-1.0,-0.4868001045868878,-0.42132151527178324
19,1.0,3.0,0.36792055349407915,-0.5029485386158568,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-0.4274512701485322,1.0,-1.0,-0.4868001045868878,-0.42132151527178324
20,0.0,2.0,0.4345312892686604,-0.12491978668775715,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.7508526981437278,-1.0,1.0,-0.4868001045868878,-0.42132151527178324
21,1.0,2.0,0.4219653179190751,-0.3866707201133388,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.6430522221453293,-1.0,1.0,2.0386082982481457,1.6605024425417338
22,1.0,3.0,0.18321186227695402,-0.4867562231804066,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.003750633845061978,0.0,-1.0,-0.4868001045868878,-0.42132151527178324
23,1.0,1.0,0.34656948982156316,0.06635974158478332,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11155110984346052,-1.0,1.0,0.14455199612187059,-0.19826894836319214
24,0.0,3.0,0.09525006282985675,-0.22408312108167944,3.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.21935158584185907,0.0,-1.0,-0.4868001045868878,-0.42132151527178324
25,1.0,3.0,0.4722292033174164,-0.016444159470040135,1.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.2377649137970184,1.0,-1.0,-0.4868001045868878,-0.42132151527178324
26,0.0,3.0,0.36792055349407915,-0.5029485386158568,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.4274512701485322,-1.0,1.0,-0.4868001045868878,-0.42132151527178324
